,modern,playful,clumsy,sharp,graceful,angular,strong,attention-grabbing,artistic,attractive,complex,calm,friendly,happy,legible,sloppy,warm,delicate,charming,formal,wide,disorderly,gentle,technical,boring,pretentious,bad,dramatic,thin,fresh,soft
ARSMaquetteWebOne,25.7683203442,22.8761736359,15.2429577398,68.0364029583,59.0476209543,19.3588549393,52.0071565477,36.894350055,32.078254468,56.9366489988,15.094396011,77.6721311615,71.4242648201,28.7690523067,62.7006942364,23.5892097159,56.1567148821,41.1123161218,55.0096443047,67.6312449964,50.8307888791,12.2423151828,81.7966989296,44.8818553791,58.9852280156,7.35187136678,30.0328302019,26.1178791274,51.6143982292,81.0796833579,66.5021291355
Acme-Regular,35.6930147181,51.1180654908,44.1337258605,50.7390680353,64.5978721508,29.4888058829,67.0647001736,47.7178033823,37.6644860994,52.4644861603,46.3188044427,73.3730877952,85.0993001765,42.9398641254,65.318496582,28.067521429,87.1879012428,55.5555910257,60.8769772233,52.9124517203,44.5808818838,23.4634653487,82.1292612601,28.4794613504,55.0499571423,37.4310792011,16.4365806289,41.4259465231,45.5290442858,80.9691699767,47.1901521956
AdventPro-SemiBold,35.5708379116,42.8005390154,38.3640868222,55.4288460013,59.4167169304,30.7634112785,51.581693777,58.0267717713,30.4321842593,43.2548089163,39.7486225824,70.1077944402,58.6830848509,46.211315067,76.3529991739,37.4195493387,65.7090613852,43.4952575115,63.0113465022,61.36067097,41.1042043993,31.2138908796,72.9197512846,45.4237414934,50.3970305563,41.0703679258,47.2121071367,35.0700129508,49.5498387034,78.7997725208,71.2533694721
Aldrich,58.4835900336,50.1792770985,41.9778410553,66.7649826666,60.2907609805,54.3242151622,61.2149413511,50.0667378428,50.2438331291,45.9794388601,51.4197040252,68.7280247,49.0776108067,36.2544509478,65.5222064807,37.4100802691,66.6377690701,37.5005442632,50.1488414145,46.1347672465,52.395781798,45.1135710339,63.302128797,43.9113648571,49.46471972,44.9966833165,55.8516846795,57.0382644298,49.0654665056,71.8089729135,42.4966090315
Alegreya-BoldItalic,69.3690434946,62.9990214583,38.3301180616,71.4127099912,99.5748364778,83.8270016052,62.2670176211,71.3968898826,68.908618948,100.0,84.4934530121,59.9686652658,95.2651399792,75.4567236829,72.1980510374,70.0064382154,83.2609464122,43.2658027465,100.0,60.8530528869,40.7665161438,43.1031390231,78.0810126785,71.5755567537,14.3695601821,61.8018121253,25.7173208476,80.1064775558,43.3855663804,84.572647944,62.9861026852
AllertaStencil-Regular,63.9721986985,57.7130789208,47.4354299118,50.1935930504,59.4085240458,46.3348236515,54.4968215946,62.4645537644,43.3881334166,49.6444196053,60.2955174678,54.9873851986,65.3275053073,39.2022453505,30.7623058841,30.7072304477,74.389199737,34.8408337802,58.0666836053,40.1515664546,58.8561826504,46.8987539571,63.4117485914,86.6783672985,40.1775480811,63.2105323651,40.154833485,60.0426538902,46.1188477324,65.7295665134,48.0968660899
Amethysta-Regular,29.4409849108,25.6453335281,6.37567829942,86.6024176998,87.2011238328,58.6278079264,51.3049709148,37.2074486811,18.9397771569,31.1840473,23.7136464067,82.7361220424,63.9927399357,42.1642428217,80.6386898214,26.1220146117,42.2239488274,40.3821080967,60.2888406793,91.7656554539,50.4085076132,15.2834212575,92.4088762589,47.7981233366,31.4803700829,38.1025919646,12.9291845814,12.9728255536,51.1986197982,89.5058739541,67.2851949729
Andada-Bold,44.0400833457,37.4192175364,42.18984686,61.6112190055,84.7609301833,41.705769904,83.524338602,73.2123295239,39.6121119678,68.0055205602,51.4793097568,64.8011107671,67.3158384871,47.727084162,84.1795131356,33.4129979097,77.8305851021,29.4031780528,56.4020609725,84.6854544875,53.0964873027,25.6732801248,81.1643066888,49.9268859873,51.4081760233,51.0740553642,25.9597407352,43.8487477833,34.5267806339,71.5125191986,34.0704406489
Andada-Italic,69.3777750175,61.9762578991,31.4282335082,76.6975783113,83.1870773716,62.1654589754,41.329285626,56.8277087017,58.8169894055,69.0352101826,48.6267673527,77.6164792993,94.2718424593,68.0797891095,86.0924227902,58.1574814163,98.1055978031,50.5979333026,86.073459348,55.3471623085,47.2124174269,25.7952420514,88.9499316863,48.9129562474,5.33646249366,64.0029242616,25.4547540193,52.1119452351,54.004254399,92.0148291129,69.5417745389
AndadaSC-Bold,25.0869876901,38.1762779719,49.9951306859,75.6269467638,63.8835810426,60.8964633351,74.5459081874,68.8523421055,42.2821611045,66.2006166337,53.1583078304,43.2902330193,46.6249410826,49.3372371745,80.4630091874,27.1645961475,73.6570024816,46.5314745206,56.9585327674,57.2596596426,57.5916758376,37.0888722746,71.132195718,51.2762789148,40.7669417715,70.5391193689,57.1230468466,52.3396901853,3.73142334194,94.5287343679,17.201551561
